fecha,hora,observacion,temperatura
20111222,24,12436,10.810822
20111223,1,11309,10.094326
20111223,2,10704,9.866467
20111223,3,10385,10.039223
20111223,4,10309,9.662614
20111223,5,10580,9.483668
20111223,6,11469,8.755355
20111223,7,13127,8.033044
20111223,8,14474,7.316549
20111223,9,15096,6.605691
20111223,10,15411,6.605691
20111223,11,15495,7.716802
20111223,12,15430,8
20111223,13,15240,8
20111223,14,15083,8
20111223,15,14932,8
20111223,16,15061,8
20111223,17,16374,8
20111223,18,17445,8
20111223,19,17221,8
20111223,20,16804,8
20111223,21,16332,8
20111223,22,15617,8
20111223,23,14490,8
20111223,24,13208,8
20111224,1,12132,8
20111224,2,11514,8
20111224,3,11222,8
20111224,4,11115,8
20111224,5,11214,-1.665144
20111224,6,11623,-2.2207
20111224,7,12443,-2.291503
20111224,8,13407,-2.847059
20111224,9,14515,-2.915137
20111224,10,15256,-2.359582
20111224,11,15519,-1.869474
20111224,12,15483,-1.313918
20111224,13,15312,-0.82127
20111224,14,15087,-0.326169
20111224,15,14979,0.115497
20111224,16,15063,0.061899
20111224,17,16213,-1.197545
20111224,18,17032,-2.261214
20111224,19,16500,-2.864211
20111224,20,15978,-3.322906
20111224,21,15667,-4.382546
20111224,22,15367,-5.038992
20111224,23,14809,-5.594548
20111224,24,13936,-6.150103
20111225,1,13008,-6.100683
20111225,2,12313,-6.656239
20111225,3,11955,-6.656239
20111225,4,11813,-6.604768
20111225,5,11826,-7.106725
20111225,6,12067,-6.495367
20111225,7,12644,-6.43728
20111225,8,13453,-5.82127
20111225,9,14432,-5.202807
20111225,10,15034,-4.026249
20111225,11,15223,-2.776256
20111225,12,15244,-0.959421
20111225,13,15045,-0.241608
20111225,14,14557,2.248555
20111225,15,14053,4.111557
20111225,16,13844,4.770958
20111225,17,14611,4.878759
20111225,18,15180,4.878759
20111225,19,15087,5.662318
20111225,20,14936,5.106762
20111225,21,14720,5.782796
20111225,22,14237,5.782796
20111225,23,13349,6.463339
20111225,24,12297,6.037429
20111226,1,11448,5.907784
20111226,2,10942,4.796673
20111226,3,10700,5.352228
20111226,4,10631,4.796673
20111226,5,10801,4.796673
20111226,6,11281,4.671685
20111226,7,11993,3.995651
20111226,8,12583,3.879537
20111226,9,13366,4.323203
20111226,10,14091,5.434314
20111226,11,14508,6.437624
20111226,12,14615,6.789316
20111226,13,14499,6.692999
20111226,14,14255,6.510987
20111226,15,14088,6.342366
20111226,16,14261,6.342366
20111226,17,15724,5.313948
20111226,18,17097,3.564589
20111226,19,17040,3.091726
20111226,20,16716,1.425059
20111226,21,16225,1.425059
20111226,22,15371,1.425059
20111226,23,14158,0.399876
20111226,24,12908,0.399876
20111227,1,11991,1.044707
20111227,2,11513,0.489151
20111227,3,11315,-0.62196
20111227,4,11276,-0.066405
20111227,5,11565,0.026332
20111227,6,12410,1.137443
20111227,7,13785,1.23376
20111227,8,14842,1.23376
20111227,9,15529,2.548735
20111227,10,15973,4.435093
20111227,11,16208,6.338352
20111227,12,16252,7.449463
20111227,13,16085,8.259651
20111227,14,15934,9.505216
20111227,15,15775,10.344739
20111227,16,15948,10.49458
20111227,17,17157,10.810822
20111227,18,17828,10.977578
20111227,19,17518,11.329281
20111227,20,16933,13.777593
20111227,21,16204,15.321966
20111227,22,15100,16.341435
20111227,23,13628,17.948999
20111227,24,12228,18.504555
20111228,1,11207,19.321155
20111228,2,10618,18.504555
20111228,3,10285,17.216642
20111228,4,10208,15.657173
20111228,5,10429,13.928747
20111228,6,11207,12.995947
20111228,7,12571,12.261445
20111228,8,13684,10.810822
20111228,9,14422,10.649882
20111228,10,14937,9.789184
20111228,11,15305,10.200192
20111228,12,15502,9.926317
20111228,13,15498,9.241117
20111228,14,15467,8.440095
20111228,15,15372,7.44489
20111228,16,15499,5.581888
20111228,17,16811,4.288765
20111228,18,18079,2.453477
20111228,19,18005,1.186257
20111228,20,17619,0.557078
20111228,21,17067,0.001522
20111228,22,16115,-1.180392
20111228,23,14824,-1.248471
20111228,24,13526,-1.869474
20111229,1,12601,-1.869474
20111229,2,12138,-2.548391
20111229,3,11952,-3.217836
20111229,4,11964,-3.82699
20111229,5,12273,-4.483437
20111229,6,13151,-5.086433
20111229,7,14536,-5.687523
